step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,2562,2,0.0300157199594779,0.0,0.5,0.04957600989466351,0.0,0.0,,
2,2900,4,0.1284550636337285,0.0,0.0,,,,,
3,3974,6,0.052982521142785385,0.0,0.0,,,,,
4,4392,8,0.08673777961657973,0.0,0.0,,,,,
5,4522,10,0.18481606081005905,0.0,0.5,,,,,
6,5292,12,0.03606521425690725,0.0,0.25,,,,,
7,5502,14,0.07106014181762407,0.0,0.25,,,,,
8,5984,16,0.04114803898213237,0.5,0.75,,,,,
9,6626,18,0.025643624577557606,0.5,0.75,0.018633634204900065,1.0,1.0,,
10,7588,20,0.02380641607878082,0.0,0.5,,,,,
11,9174,22,0.011525509378040413,0.5,0.75,,,,,
12,10056,24,0.029313341476838273,0.5,0.75,,,,,
13,10634,26,0.03141532910876979,1.0,1.0,,,,,
14,11788,28,0.026220826839497828,0.5,0.75,,,,,
15,12046,30,0.04027207373876537,0.5,0.75,,,,,
16,12912,32,0.022885408529998836,1.0,1.0,,,,,
17,13154,34,0.04717098979244473,0.0,0.5,0.02152380429175355,0.5,0.75,,
18,14228,36,0.02126465239305861,1.0,1.0,,,,,
19,14502,38,0.06486715867136167,0.0,0.5,,,,,
20,15304,40,0.0231479906554323,0.0,0.5,,,,,
21,15802,42,0.02463561368168279,1.0,1.0,,,,,
22,16140,44,0.04059427651630055,0.0,0.5,,,,,
23,16718,46,0.027398356510372347,0.0,0.5,,,,,
24,17152,48,0.04937238750469988,0.0,0.5,,,,,
25,17698,50,0.025321588612887354,1.0,1.0,0.03431018675596719,0.0,0.5,,
26,19524,52,0.008557927121019738,0.5,0.75,,,,,
27,20246,54,0.030154337433887526,1.0,1.0,,,,,
28,20536,56,0.039007619101386,0.5,0.75,,,,,
29,21434,58,0.0282134675294349,0.5,0.75,,,,,
30,22028,60,0.022974464886255114,1.0,1.0,,,,,
31,22462,62,0.039450495292739,0.5,0.75,,,,,
32,22848,64,0.027301014640408905,1.0,1.0,,,,,
33,23218,66,0.046825591205878994,0.0,0.5,0.02353479924672744,0.0,0.5,,
34,23604,68,0.025603955562655756,0.5,0.75,,,,,
35,23782,70,0.035086957294763785,1.0,1.0,,,,,
36,24200,72,0.034007752989140355,0.0,0.5,,,,,
37,24410,74,0.03254198727711739,0.5,0.75,,,,,
38,25212,76,0.022563801406929273,1.0,1.0,,,,,
39,25502,78,0.033429422230168114,0.5,0.75,,,,,
40,25824,80,0.028369384841393185,1.0,1.0,,,,,
41,26242,82,0.020968016891050725,0.5,0.75,0.0382805899458981,1.0,1.0,,
42,26404,84,0.03575444133148995,1.0,1.0,,,,,
43,27094,86,0.023798004256733653,1.0,1.0,,,,,
44,27992,88,0.021227857630734173,0.5,0.75,,,,,
45,28874,90,0.0243899509860335,1.0,1.0,,,,,
46,29340,92,0.02737915465313814,1.0,1.0,,,,,
47,29870,94,0.0175057670351651,1.0,1.0,,,,,
48,30224,96,0.03205549424884587,1.0,1.0,,,,,
49,31298,98,0.019161596095866876,1.0,1.0,0.022546832517931412,1.0,1.0,,
50,32484,100,0.018344782604075394,1.0,1.0,,,,,
51,32886,102,0.029053012031926485,1.0,1.0,,,,,
52,36824,104,0.004688945647396868,1.0,1.0,,,,,
53,37578,106,0.02276123723768251,1.0,1.0,,,,,
54,40412,108,0.019979903826562787,0.5,0.75,,,,,
55,43086,110,0.009750029056052512,1.0,1.0,,,,,
56,43536,112,0.030957003145122147,1.0,1.0,,,,,
57,44002,114,0.02660716283448233,1.0,1.0,0.05124828745172333,0.5,0.75,,
58,46724,116,0.01811795187701937,0.5,0.75,,,,,
59,47094,118,0.025596974372291817,0.5,0.75,,,,,
60,47544,120,0.03376765065933796,0.5,0.75,,,,,
61,47786,122,0.06368729701488822,0.0,0.5,,,,,
62,48396,124,0.018812420223636623,1.0,1.0,,,,,
63,48606,126,0.02779393175738313,1.0,1.0,,,,,
64,49232,128,0.024266373528664238,0.5,0.75,,,,,
65,50306,130,0.017529123219342246,1.0,1.0,0.021270313900340766,0.5,0.75,,
66,52388,132,0.021514384163721846,0.0,0.5,,,,,
67,53190,134,0.018932640906356393,0.5,0.75,,,,,
68,54056,136,0.025783657328367418,1.0,1.0,,,,,
69,55514,138,0.016105175227933432,1.0,1.0,,,,,
70,56572,140,0.02294419925524353,0.5,0.75,,,,,
71,56990,142,0.02829426503567587,1.0,1.0,,,,,
72,57360,144,0.02156079815871556,0.5,0.75,,,,,
73,57778,146,0.025070571616715123,1.0,1.0,0.020163257401301916,1.0,1.0,,
74,60036,148,0.008622301574521526,1.0,1.0,,,,,
75,60566,150,0.02535638237790298,1.0,1.0,,,,,
76,61192,152,0.0221559333504597,1.0,1.0,,,,,
77,62330,154,0.010404617041898696,0.5,0.75,,,,,
78,62796,156,0.023823285668617057,1.0,1.0,,,,,
79,63198,158,0.01603793364558165,1.0,1.0,,,,,
80,64112,160,0.017991311522540566,1.0,1.0,,,,,
81,65794,162,0.01920282458423095,0.5,0.75,0.023416046563494698,1.0,1.0,,
82,66468,164,0.022519042384699442,0.5,0.75,,,,,
83,67190,166,0.018472994010834045,1.0,1.0,,,,,
84,68120,168,0.025991978661955288,1.0,1.0,,,,,
85,68890,170,0.03110834678201968,0.5,0.75,,,,,
86,69788,172,0.01803091024197337,1.0,1.0,,,,,
87,69934,174,0.04885964420921583,0.5,0.75,,,,,
88,70464,176,0.023474269770674506,0.5,0.75,,,,,
89,70690,178,0.034206581473408736,0.5,0.75,0.02657645169547131,1.0,1.0,,
90,71396,180,0.025679741394268485,0.5,0.75,,,,,
91,72102,182,0.01680278200045574,1.0,1.0,,,,,
92,72792,184,0.030971487312744173,0.5,0.75,,,,,
93,74074,186,0.019406989756917657,0.0,0.5,,,,,
94,75164,188,0.025626617348926257,0.5,0.75,,,,,
95,76190,190,0.021413263693452436,0.5,0.75,,,,,
96,76528,192,0.029729733589651697,0.5,0.75,,,,,
97,76850,194,0.02496679728890831,1.0,1.0,0.04063376478883523,0.5,0.75,,
98,77652,196,0.017326421636663144,1.0,1.0,,,,,
